"Kaufdatum";"SKU";"Einheit";"St. Frei Betrag";"Einkauf Bemerkung";"Verkaufsdatum";"Verkaufsbetrag";"Verkauf Bemerkung";"Zu besteuernder Betrag";"Rechnung Nr."
"21.11.2024";"TG011994";"";"1405,99";"";"04.12.2024";"1600,00";"";"194,01";""
"21.11.2024";"TG011994";"";"1405,99";"";"";"";"";"";""
"23.11.2024";"TG011998";"";"960,00";"";"30.01.2025";"1500,00";"";"540,00";"13071"
"25.11.2024";"TG011999";"";"1161,00";"";"15.07.2025";"1750,00";"";"589,00";"14488"
"03.12.2024";"TG011995";"";"1125,00";"";"";"";"";"";""
"04.12.2024";"TG011997";"";"1400,00";"";"";"";"";"";""
"04.12.2024";"TG011996";"";"1230,00";"";"04.03.2025";"1500,00";"1400€ - 170€ Erstattung";"270,00";"12696"
"17.12.2024";"TG012003";"";"1010,01";"";"15.07.2025";"1300,00";"";"289,99";"14480"
"13.01.2025";"TG012000";"";"800,00";"";"16.06.2025";"1450,00";"";"650,00";"14033"
"18.01.2025";"TG012001";"";"1376,99";"";"17.09.2025";"1550,00";"";"173,01";"15276"
"18.01.2025";"TG012001";"";"1376,99";"";"03.09.2025";"1799,00";"Teilrückerstattung / Retoure 130,00€ Instandsetzungskosten einbehalten.";"422,01";"15132"
"18.01.2025";"TG012001";"";"1376,99";"";"09.06.2025";"1890,50";"Retoure";"513,51";"13912"
"22.01.2025";"TG012002";"";"1750,00";"";"";"";"";"";""
"19.02.2025";"TG012005";"";"1140,19";"";"12.06.2025";"1449,95";"";"309,76";"13971"
"19.02.2025";"TG012005";"";"1140,19";"";"11.06.2025";"1449,95";"";"309,76";""
"19.02.2025";"TG012005";"";"1140,19";"";"23.04.2025";"1550,00";"Retoure";"409,81";"13288"
"19.02.2025";"TG012004";"";"706,00";"";"10.05.2025";"1149,95";"";"443,95";"13497"
"05.05.2025";"TG012006";"";"1538,00";"";"05.05.2025";"1950,00";"";"412,00";"13407"
"14.06.2025";"TG012007";"";"780,09";"ESG 529946 Pos. 3";"18.07.2025";"796,92";"";"16,83";""
"01.07.2025";"TG012009";"";"1000,00";"";"01.07.2025";"";"";"";""
"05.07.2025";"TG012011";"";"210,84";"ESG 529946 Pos. 2";"18.07.2025";"210,89";"";"0,05";""
"05.07.2025";"TG012010";"";"270,78";"ESG 529946 Pos. 1";"18.07.2025";"270,83";"";"0,05";""
"11.07.2025";"TG012008";"";"107,89";"";"11.07.2025";"109,00";"";"1,11";"14418"
"23.07.2025";"TG012012";"";"150,56";"Entnahmeschein Nr. 1 RE: 14581";"23.07.2025";"151,00";"";"0,44";""
"24.07.2025";"TG012013";"";"91,87";"";"24.07.2025";"93,00";"";"1,13";"14599"
"25.07.2025";"TG012014";"";"94,40";"Entnahmeschein Nr. 2 RE: 14610";"25.07.2025";"95,00";"";"0,60";""
"15.09.2025";"TG012016";"";"541,55";"";"15.09.2025";"110,00";"EK RE 2025-5071748";"1,69";"15255"
"15.09.2025";"TG012016";"";"541,55";"";"17.09.2025";"216,82";"EK RE 2025-5071748";"0,20";"15272"
"15.09.2025";"TG012016";"";"541,55";"Entnahmeschein Nr. 3 RE: 15273";"17.09.2025";"232,00";"EK RE 2025-5071748";"15,38";""
"02.10.2025";"TG012017";"";"670,98";"Entnahmeschein Nr. 4 RE: 15466";"02.10.2025";"775,00";"Wiedereingelegt für Rechnung 17661 Handke EK RE 2025-5077416";"104,02";""
"02.10.2025";"TG012017";"";"468,80";"";"02.10.2025";"375,60";"EK RE 2025-5077416";"-93,20";"15463"
"17.10.2025";"TG012018";"";"601,34";"Entnahmeschein Nr. 6 RE: 16009";"22.10.2025";"620,00";"EK RE 2025-5084040";"18,66";""
"17.10.2025";"TG012018";"";"371,76";"Entnahmeschein Nr. 5 RE: 16008";"22.10.2025";"390,00";"EK RE 2025-5084040";"18,24";""
"17.10.2025";"TG012018";"";"247,84";"";"22.10.2025";"260,00";"EK RE 2025-5084040";"12,16";"16007"
"17.10.2025";"TG012018";"";"123,92";"";"22.10.2025";"130,00";"EK RE 2025-5084040";"6,08";"16006"
"17.10.2025";"TG012018";"";"247,84";"";"22.10.2025";"260,00";"EK RE 2025-5084040";"12,16";"16005"
"17.10.2025";"TG012018";"";"123,92";"";"22.10.2025";"140,00";"EK RE 2025-5084040";"16,08";"16004"
"26.10.2025";"TG012019";"";"2319,54";"";"26.10.2025";"2340,00";"EK RE 2025-5089528";"20,46";"16077"
"26.10.2025";"TG012019";"";"1172,07";"Entnahmeschein Nr. 7 RE: 16076";"26.10.2025";"1190,00";"EK RE 2025-5089528";"17,93";""
"29.10.2025";"TG012020";"";"594,83";"";"29.10.2025";"610,00";"EK-RE 2025-5091092";"15,17";"16262"
"30.10.2025";"TG012021";"";"119,66";"";"14.12.2025";"143,90";"EK-RE 2025-5091309";"24,24";"18024"
"30.10.2025";"TG012021";"";"119,66";"";"27.11.2025";"124,00";"EK-RE 2025-5091309";"4,34";"17261"
"30.10.2025";"TG012021";"";"119,66";"";"14.11.2025";"124,00";"EK-RE 2025-5091309";"4,34";"16804"
"30.10.2025";"TG012021";"";"119,66";"";"30.10.2025";"124,00";"EK-RE 2025-5091309";"4,34";"16300"
"30.10.2025";"TG012021";"";"119,66";"";"30.10.2025";"124,00";"EK-RE 2025-5091309";"4,34";"16300"
"08.11.2025";"TG012022";"";"6671,47";"";"07.11.2025";"6850,00";"EK RE 202556376";"178,53";"16569"
"14.11.2025";"TG012023";"";"121,36";"";"14.11.2025";"124,00";"Pos 0040  Porto-Prozentsatz 2,7436%";"2,64";""
"14.11.2025";"TG012023";"";"121,40";"";"15.12.2025";"128,00";"Pos 0040  Porto-Prozentsatz 2,7436%";"6,64";"18036"
"14.11.2025";"TG012023";"";"121,40";"";"14.11.2025";"124,00";"Pos 0040  Porto-Prozentsatz 2,7436%";"2,60";""
"14.11.2025";"TG012023";"";"121,40";"";"14.11.2025";"124,00";"Pos 0040  Porto-Prozentsatz 2,7436%";"2,60";""
"14.11.2025";"TG012023";"";"121,40";"";"14.11.2025";"124,00";"Pos 0040  Porto-Prozentsatz 2,7436%";"2,60";""
"14.11.2025";"TG012023";"";"121,40";"";"14.11.2025";"124,00";"Pos 0040  Porto-Prozentsatz 2,7436%";"2,60";""
"14.11.2025";"TG012023";"";"121,40";"";"14.11.2025";"124,00";"Pos 0040  Porto-Prozentsatz 2,7436%";"2,60";""
"14.11.2025";"TG012023";"";"121,40";"";"14.11.2025";"124,00";"Pos 0040  Porto-Prozentsatz 2,7436%";"2,60";""
"14.11.2025";"TG012023";"";"121,40";"";"14.11.2025";"124,00";"Pos 0040  Porto-Prozentsatz 2,7436%";"2,60";""
"14.11.2025";"TG012023";"";"121,40";"";"14.11.2025";"124,00";"Pos 0040  Porto-Prozentsatz 2,7436%";"2,60";""
"14.11.2025";"TG012023";"";"585,39";"";"13.12.2025";"630,00";"Pos 0030  Porto-Prozentsatz 13,24%";"44,61";"17955"
"14.11.2025";"TG012023";"";"298,22";"";"14.11.2025";"302,00";"Pos 0020  Porto-Prozentsatz 6,744%";"3,78";""
"14.11.2025";"TG012023";"";"1161,74";"";"14.11.2025";"1170,00";"Pos 0010  Porto-Prozentsatz 26,29%";"8,26";""
"14.11.2025";"TG012023";"";"1161,74";"";"14.11.2025";"1170,00";"Pos 0010  Porto-Prozentsatz 26,29%";"8,26";""
"18.11.2025";"TG012024";"";"117,80";"";"22.12.2025";"139,95";"";"22,15";"18213"
"18.11.2025";"TG012024";"";"117,80";"";"20.12.2025";"139,95";"189,90€ - Versandrabatt 49,95€";"22,15";"18175"
"18.11.2025";"TG012024";"";"117,80";"";"20.12.2025";"139,95";"189,90€ - Versandrabatt 49,95€";"22,15";"18174"
"18.11.2025";"TG012024";"";"117,80";"";"20.12.2025";"139,95";"189,90€ - Versandrabatt 49,95€";"22,15";"18173"
"18.11.2025";"TG012024";"";"117,80";"";"20.12.2025";"139,95";"189,90€ - Versandrabatt 49,95€";"22,15";"18172"
"18.11.2025";"TG012024";"";"117,80";"";"20.12.2025";"189,90";"";"72,10";"18169"
"18.11.2025";"TG012024";"";"117,80";"";"19.12.2025";"125,00";"";"7,20";"18131"
"18.11.2025";"TG012024";"";"117,80";"";"19.12.2025";"125,00";"";"7,20";"18131"
"18.11.2025";"TG012024";"";"117,80";"";"19.12.2025";"125,00";"";"7,20";"18131"
"18.11.2025";"TG012024";"";"117,80";"";"19.12.2025";"125,00";"";"7,20";"18131"
"18.11.2025";"TG012024";"";"117,80";"";"17.12.2025";"128,00";"";"10,20";"18079"
"18.11.2025";"TG012024";"";"117,80";"";"17.12.2025";"128,00";"";"10,20";"18079"
"18.11.2025";"TG012024";"";"117,80";"";"17.12.2025";"128,00";"";"10,20";"18078"
"18.11.2025";"TG012024";"";"117,80";"";"17.12.2025";"128,00";"";"10,20";"18078"
"18.11.2025";"TG012024";"";"117,80";"";"17.12.2025";"128,00";"";"10,20";"18078"
"18.11.2025";"TG012024";"";"117,80";"";"15.12.2025";"128,00";"";"10,20";"18036"
"18.11.2025";"TG012024";"";"117,80";"";"18.11.2025";"120,00";"";"2,20";"16932"
"18.11.2025";"TG012024";"";"11293,40";"";"18.11.2025";"11300,00";"";"6,60";"16932"
"04.12.2025";"TG012025";"";"120,00";"";"05.12.2025";"187,00";"";"67,00";"17646"
"12.12.2025";"TG012026";"1oz";"3671,42";"";"24.12.2025";"4118,95";"";"447,53";"18306"
"12.12.2025";"TG012026";"";"3671,42";"";"17.12.2025";"3745,00";"";"73,58";"18080"
"12.12.2025";"TG012026";"10g";"1196,44";"";"23.12.2025";"1269,00";"";"72,56";"18242"
"12.12.2025";"TG012026";"";"1196,44";"";"21.12.2025";"1438,95";"";"242,51";"18168"
"12.12.2025";"TG012026";"";"1197,66";"";"20.12.2025";"1438,95";"";"241,29";"18159"
"12.12.2025";"TG012026";"";"606,30";"";"19.12.2025";"689,00";"";"82,70";"18154"
"12.12.2025";"TG012026";"";"602,20";"";"22.12.2025";"657,50";"";"55,30";"18210"
"12.12.2025";"TG012026";"2,5g";"306,33";"";"05.01.2026";"387,00";"";"80,67";"18363"
"12.12.2025";"TG012026";"2,5g";"306,33";"";"30.12.2025";"349,00";"";"42,67";"18347"
"12.12.2025";"TG012026";"2,5g";"306,33";"";"24.12.2025";"322,00";"";"15,67";"18256"
"12.12.2025";"TG012026";"2,5g";"306,33";"";"23.12.2025";"322,00";"";"15,67";"18220"
"12.12.2025";"TG012026";"";"306,33";"";"17.12.2025";"322,00";"";"15,67";"18077"
"12.12.2025";"TG012026";"";"123,95";"";"18.12.2025";"139,95";"";"16,00";"18121"
"12.12.2025";"TG012026";"";"123,95";"";"18.12.2025";"139,95";"";"16,00";"18121"
"12.12.2025";"TG012026";"";"123,95";"";"18.12.2025";"139,95";"";"16,00";"18121"
"12.12.2025";"TG012026";"";"123,95";"";"18.12.2025";"139,95";"";"16,00";"18121"
"12.12.2025";"TG012026";"";"123,95";"";"18.12.2025";"139,95";"";"16,00";"18121"
"12.12.2025";"TG012026";"";"123,95";"";"18.12.2025";"139,95";"";"16,00";"18121"
"12.12.2025";"TG012026";"";"123,95";"";"18.12.2025";"139,95";"";"16,00";"18121"
"12.12.2025";"TG012026";"";"123,95";"";"18.12.2025";"139,95";"";"16,00";"18121"
"12.12.2025";"TG012026";"";"123,95";"";"18.12.2025";"139,95";"";"16,00";"18121"
"12.12.2025";"TG012026";"";"123,95";"";"18.12.2025";"139,95";"";"16,00";"18121"
"12.12.2025";"TG012026";"";"606,30";"";"06.12.2025";"705,90";"Wiedereinlage Beleg Eins";"99,60";"17661"
"17.12.2025";"TG012027";"1oz";"3707,38";"";"15.01.2026";"4051,00";"";"343,62";"18381"
"17.12.2025";"TG012027";"1oz";"3707,37";"Entnahmeschein 10";"03.01.2025";"3724,00";"Entnahmeschein 10";"16,62";""
"17.12.2025";"TG012027";"10g";"1200,45";"";"29.12.2025";"1300,00";"";"99,55";"18337"
"17.12.2025";"TG012027";"10g";"1200,45";"";"23.12.2025";"1269,00";"";"68,55";"18243"
"17.12.2025";"TG012027";"5g";"605,05";"";"23.12.2025";"659,00";"";"53,95";"18243"
"17.12.2025";"TG012027";"";"605,05";"";"23.12.2025";"738,95";"";"133,90";"18222"
"17.12.2025";"TG012027";"";"605,05";"";"23.12.2025";"689,00";"Versandrabatt";"83,95";"18222"
"17.12.2025";"TG012027";"2g";"247,57";"";"26.01.2026";"315,00";"";"67,43";"18456"
"17.12.2025";"TG012027";"2g";"247,57";"";"15.01.2026";"277,00";"";"29,43";"18384"
"17.12.2025";"TG012027";"2g";"247,57";"";"15.01.2026";"277,00";"";"29,43";"18383"
"17.12.2025";"TG012027";"2g";"247,57";"";"31.12.2025";"320,00";"";"72,43";"18356"
"17.12.2025";"TG012027";"1g";"127,81";"";"27.12.2025";"153,95";"";"26,14";"18270"
"17.12.2025";"TG012027";"1g";"127,81";"";"24.12.2025";"133,00";"";"5,19";"18257"
"17.12.2025";"TG012027";"1/4oz";"935,92";"";"24.01.2026";"1308,90";"Retoure Gesamtporto aus dieser Bestellung verrechnet 99,90Euro";"372,98";"18421"
"17.12.2025";"TG012027";"1/2oz";"1859,81";"";"28.12.2025";"1990,00";"";"130,19";"18321"
"17.12.2025";"TG012027";"";"605,05";"";"22.12.2025";"657,50";"";"52,45";"18210"
"23.12.2025";"TG012028";"5g";"627,66";"";"21.01.2026";"765,00";"";"137,34";"18412"
"23.12.2025";"TG012028";"5g";"627,66";"";"15.01.2026";"673,00";"";"45,34";"18386"
"23.12.2025";"TG012028";"10g";"1240,41";"";"16.01.2026";"1467,00";"";"226,59";"18389"
"23.12.2025";"TG012028";"10g";"1240,41";"Entnahmeschein 11";"15.01.2026";"1319,00";"Entnahmeschein 11";"78,59";""
"23.12.2025";"TG012028";"10g";"1240,41";"";"10.01.2026";"1439,00";"";"198,59";"18376"
"23.12.2025";"TG012028";"10g";"1240,41";"";"10.01.2026";"1439,00";"";"198,59";"18376"
"23.12.2025";"TG012028";"10g";"1240,41";"";"06.01.2026";"1439,00";"";"198,59";"18365"
"23.12.2025";"TG012028";"5g";"627,52";"";"28.12.2025";"645,00";"";"17,48";"18324"
"23.12.2025";"TG012028";"1g";"127,22";"";"15.01.2026";"160,80";"";"33,58";"18388"
"23.12.2025";"TG012028";"1g";"127,22";"";"15.01.2026";"160,80";"";"33,58";"18387"
"23.12.2025";"TG012028";"1g";"127,22";"";"15.01.2026";"138,00";"";"10,78";"18385"
"23.12.2025";"TG012028";"1g";"127,22";"";"10.01.2026";"155,85";"";"28,63";"18377"
"23.12.2025";"TG012028";"1g";"127,22";"";"01.01.2025";"155,85";"";"28,63";"18358"
"23.12.2025";"TG012028";"1g";"126,97";"";"30.12.2025";"155,85";"";"28,88";"18355"
"23.12.2025";"TG012028";"1g";"126,97";"";"31.12.2025";"155,85";"";"28,88";"18354"
"23.12.2025";"TG012028";"";"126,97";"";"29.12.2025";"152,25";"1g Eine Bestellung Portokosten wurden auf alle drei Barren Geteilt";"25,28";"18336"
"23.12.2025";"TG012028";"";"126,97";"";"29.12.2025";"152,25";"1g Eine Bestellung Portokosten wurden auf alle drei Barren Geteilt";"25,28";"18336"
"23.12.2025";"TG012028";"";"126,97";"";"29.12.2025";"152,25";"1g Eine Bestellung Portokosten wurden auf alle drei Barren Geteilt";"25,28";"18336"
"28.12.2025";"TG012029";"2,5g";"323,95";"";"14.02.2026";"372,00";"";"48,05";"18505"
"28.12.2025";"TG012029";"2,5g";"323,95";"";"01.03.2026";"440,29";"";"116,34";"345678"
"28.12.2025";"TG012029";"2,5g";"323,95";"";"";"";"";"";""
"28.12.2025";"TG012029";"2,5g";"323,95";"";"";"";"";"";""
"28.12.2025";"TG012029";"2,5g";"323,95";"";"15.01.2026";"356,00";"";"32,05";"18382"
"28.12.2025";"TG012029";"10g";"1271,80";"";"28.12.2025";"1287,00";"";"15,20";"18325"
"29.12.2025";"TG012030";"1g";"131,50";"";"21.01.2026";"155,85";"2x 1g in einer Bestellung (Portokosten hier berechent 5,90Euro)";"24,35";"18413"
"29.12.2025";"TG012030";"1g";"131,50";"";"21.01.2026";"149,95";"2x 1g in einer Bestellung (Portokosten hier nicht berechent)";"18,45";"18413"
"29.12.2025";"TG012030";"1g";"131,50";"";"19.01.2026";"160,80";"6x 1g in einer Bestellung (Hier Porto Berechnet von 5,90Euro)";"29,30";"18410"
"29.12.2025";"TG012030";"1g";"131,50";"";"19.01.2026";"154,90";"6x 1g in einer Bestellung (Hier kein Porto Berechnet)";"23,40";"18410"
"29.12.2025";"TG012030";"1g";"131,50";"";"19.01.2026";"154,90";"6x 1g in einer Bestellung (Hier kein Porto Berechnet)";"23,40";"18410"
"29.12.2025";"TG012030";"1g";"131,50";"";"19.01.2026";"154,90";"6x 1g in einer Bestellung (Hier kein Porto Berechnet)";"23,40";"18410"
"29.12.2025";"TG012030";"1g";"129,40";"";"19.01.2026";"154,90";"6x 1g in einer Bestellung (Hier kein Porto Berechnet)";"25,50";"18410"
"29.12.2025";"TG012030";"1g";"129,40";"";"19.01.2026";"154,90";"6x 1g in einer Bestellung (Hier kein Porto Berechnet)";"25,50";"18410"
"29.12.2025";"TG012030";"1g";"129,40";"";"20.01.2026";"155,85";"";"26,45";"18411"
"29.12.2025";"TG012030";"1g";"129,40";"";"17.01.2026";"161,80";"5x 1g in einer Bestellung (hier wurden 6,90Euro Portokosten berechnet)";"32,40";"18401"
"29.12.2025";"TG012030";"1g";"129,40";"";"17.01.2026";"154,90";"5x 1g in einer Bestellung (hier keine Portokosten berechnet)";"25,50";"18401"
"29.12.2025";"TG012030";"1g";"129,40";"";"17.01.2026";"154,90";"5x 1g in einer Bestellung (hier keine Portokosten berechnet)";"25,50";"18401"
"29.12.2025";"TG012030";"1g";"129,40";"";"17.01.2026";"154,90";"5x 1g in einer Bestellung (hier keine Portokosten berechnet)";"25,50";"18401"
"29.12.2025";"TG012030";"1g";"129,40";"";"17.01.2026";"154,90";"5x 1g in einer Bestellung (hier keine Portokosten berechnet)";"25,50";"18401"
"29.12.2025";"TG012030";"1g";"129,40";"";"17.01.2026";"160,80";"";"31,40";"18400"
"29.12.2025";"TG012030";"1g";"129,40";"";"16.01.2026";"157,85";"Porto durch zwei geteilt da zwei Artikel in dieser Bestellung";"28,45";"18395"
"29.12.2025";"TG012030";"1g";"129,40";"";"16.01.2026";"157,85";"Porto durch zwei geteilt da zwei Artikel in dieser Bestellung";"28,45";"18395"
"29.12.2025";"TG012030";"1g";"129,40";"";"16.01.2026";"160,80";"";"31,40";"18392"
"29.12.2025";"TG012030";"1g";"129,40";"";"16.01.2026";"160,80";"";"31,40";"18391"
